coin,avg_daily_return,volatility,risk_level,latest_daily_return,daily_crash,daily_spike
binancecoin,0.00058,0.02791,Low,-0.01358,False,False
bitcoin,-0.00039,0.02353,Low,-0.0058,False,False
cardano,-0.00241,0.0431,Medium,-0.00595,False,False
dogecoin,-0.00098,0.04769,Medium,-0.00131,False,False
ethereum,0.00059,0.03967,Medium,-0.00576,False,False
litecoin,-0.00102,0.03715,Medium,-0.00556,False,False
polkadot,-0.00186,0.04659,Medium,-0.00651,False,False
ripple,-0.00093,0.03921,Medium,-0.00162,False,False
solana,-0.0005,0.04106,Medium,-0.01165,False,False
tron,0.00063,0.01698,Low,0.0057,False,False
