coin_id,date,open,high,low,close,volume
bitcoin,2025-03-10,80597.1484375,83955.9296875,77420.59375,78532.0,54061099422
bitcoin,2025-03-11,78523.875,83577.7578125,76624.25,82862.2109375,54702837196
bitcoin,2025-03-12,82857.375,84358.578125,80635.25,83722.359375,40353484454
bitcoin,2025-03-13,83724.921875,84301.6953125,79931.8515625,81066.703125,31412940153
bitcoin,2025-03-14,81066.9921875,85263.2890625,80797.5625,83969.1015625,29588112414
bitcoin,2025-03-15,83968.40625,84672.671875,83639.59375,84343.109375,13650491277
bitcoin,2025-03-16,84333.3203125,85051.6015625,82017.90625,82579.6875,21330270174
bitcoin,2025-03-17,82576.3359375,84725.328125,82492.15625,84075.6875,25092785558
bitcoin,2025-03-18,84075.71875,84075.71875,81179.9921875,82718.5,24095774594
bitcoin,2025-03-19,82718.8046875,87021.1875,82569.7265625,86854.2265625,34931960257
bitcoin,2025-03-20,86872.953125,87443.265625,83647.1953125,84167.1953125,29028988961
bitcoin,2025-03-21,84164.5390625,84782.2734375,83171.0703125,84043.2421875,19030452299
bitcoin,2025-03-22,84046.2578125,84513.875,83674.78125,83832.484375,9863214091
bitcoin,2025-03-23,83831.8984375,86094.78125,83794.9140625,86054.375,12594615537
bitcoin,2025-03-24,86070.9296875,88758.7265625,85541.1953125,87498.9140625,34582604933
bitcoin,2025-03-25,87512.8203125,88542.3984375,86346.078125,87471.703125,30005840049
bitcoin,2025-03-26,87460.234375,88292.15625,85861.453125,86900.8828125,26704046038
bitcoin,2025-03-27,86896.2578125,87786.7265625,85837.9375,87177.1015625,24413471941
bitcoin,2025-03-28,87185.234375,87489.859375,83557.640625,84353.1484375,34198619509
bitcoin,2025-03-29,84352.0703125,84567.3359375,81634.140625,82597.5859375,16969396135
bitcoin,2025-03-30,82596.984375,83505.0,81573.25,82334.5234375,14763760943
bitcoin,2025-03-31,82336.0625,83870.125,81293.890625,82548.9140625,29004228247
bitcoin,2025-04-01,82551.921875,85487.3671875,82429.359375,85169.171875,28175650319
bitcoin,2025-04-02,85180.609375,88466.953125,82343.5390625,82485.7109375,47584398470
bitcoin,2025-04-03,82487.4765625,83909.296875,81282.1015625,83102.828125,36852112080
bitcoin,2025-04-04,83100.25,84696.1484375,81670.75,83843.8046875,45157640207
bitcoin,2025-04-05,83844.703125,84207.015625,82377.734375,83504.796875,14380803631
bitcoin,2025-04-06,83504.5078125,83704.71875,77097.7421875,78214.484375,36294853736
bitcoin,2025-04-07,78221.3359375,81119.0625,74436.6796875,79235.3359375,91262424987
bitcoin,2025-04-08,79218.4765625,80823.890625,76198.0234375,76271.953125,48314590749
bitcoin,2025-04-09,76273.5625,83541.0,74589.671875,82573.953125,84213627038
bitcoin,2025-04-10,82565.9765625,82700.9296875,78456.1328125,79626.140625,44718000633
bitcoin,2025-04-11,79625.046875,84247.4765625,78936.3203125,83404.8359375,41656778779
bitcoin,2025-04-12,83404.515625,85856.1875,82769.375,85287.109375,24258059104
bitcoin,2025-04-13,85279.46875,86015.1875,83027.0078125,83684.9765625,28796984817
bitcoin,2025-04-14,83694.5234375,85785.0,83690.640625,84542.390625,34090769777
bitcoin,2025-04-15,84539.6953125,86429.3515625,83598.8203125,83668.9921875,28040322885
bitcoin,2025-04-16,83674.5078125,85428.28125,83100.6171875,84033.8671875,29617804112
bitcoin,2025-04-17,84030.671875,85449.0703125,83749.75,84895.75,21276866029
bitcoin,2025-04-18,84900.1875,85095.046875,84298.8828125,84450.8046875,12728372364
